y,x,,
1117109.34912,3100472.42881,,
1117148.44253,3100410.80848,,
1117160.63129,3100337.56064,,
1117148.4148,3100271.69945,,
1117104.0419,3100161.32248,,
1117071.26765,3100094.45044,,
1117009.37012,3100026.14632,,
1116931.38309,3099965.10506,,
1116847.52278,3099905.52898,,
1116773.12126,3099862.43495,,
1116683.19314,3099815.47556,,
1116602.8421,3099782.593,,
1116486.7709,3099740.72124,,
1116396.32701,3099716.98639,,
1116303.47823,3099693.13336,,
1116231.44668,3099687.1806,,
1116127.91381,3099684.50082,,
1116062.5061,3099690.92849,,
1115994.5752,3099699.64301,,
1115907.16798,3099712.22173,,
1115789.87158,3099732.92889,,
1115721.6335,3099745.35415,,
1115628.43756,3099761.06089,,
1115621.69117,3099760.72917,,
1115493.35539,3099793.13315,,
1115380.95305,3099823.76992,,
1115313.34933,3099842.50491,,
1115206.88949,3099882.71641,,
1115108.44424,3099923.68284,,
1115014.57246,3099969.69585,,
1114947.86481,3100002.57911,,
1114883.32561,3100040.39074,,
1114833.57093,3100071.69664,,
1114770.62091,3100106.62724,,
1114698.4761,3100152.6748,,
1114625.16922,3100191.63654,,
1114553.17887,3100233.90315,,
1114488.52164,3100274.11942,,
1114431.55236,3100305.07015,,
1114369.65497,3100338.18935,,
1114302.82949,3100373.47701,,
1114253.54821,3100395.16215,,
1114204.26695,3100416.84726,,
1114142.96114,3100437.94095,,
1114096.67629,3100447.71899,,
1114043.29501,3100454.73713,,
1113970.91104,3100455.99893,,
1113913.54803,3100445.94514,,
1113865.92297,3100433.95942,,
1113825.51267,3100422.32854,,
1113778.00596,3100407.93781,,
1113738.18712,3100384.28173,,
1113688.98524,3100355.34251,,
1113633.86974,3100299.59306,,
1113590.30564,3100254.05521,,
1113554.42932,3100199.25206,,
1113525.76767,3100144.80376,,
1113494.93763,3100085.42717,,
1113469.03561,3100023.88212,,
1113439.38815,3099940.45528,,
1113422.75081,3099886.59846,,
1113395.5081,3099803.28999,,
1113379.69847,3099732.598,,
1113359.90677,3099644.83432,,
1113337.59182,3099559.35748,,
1113322.25494,3099479.04548,,
1113306.2085,3099413.1637,,
1113299.54508,3099352.56497,,
1113292.17214,3099306.39643,,
1113275.37601,3099206.72606,,
1113273.52218,3099146.36383,,
1113269.38165,3099083.47835,,
1113269.5779,3099030.44944,,
1113263.74176,3098953.01556,,
1113260.78332,3098866.07979,,
1113262.27989,3098786.59555,,
1113268.58614,3098707.34773,,
1113272.01453,3098637.60182,,
1113285.18064,3098565.9237,,
1113310.1347,3098499.64666,,
1113335.67978,3098421.3444,,
1113357.8742,3098362.16416,,
1113386.81043,3098312.95863,,
1113420.91105,3098256.77434,,
1113456.94373,3098210.32835,,
1113511.88293,3098153.37475,,
1113568.39455,3098104.30339,,
1113594.23585,3098083.03046,,
1113636.70248,3098044.5402,,
1113734.57556,3097979.46698,,
1113808.95775,3097939.53152,,
1113852.04837,3097921.15686,,
1113907.16358,3097903.37312,,
1113961.13547,3097884.32773,,
1114001.40757,3097874.25252,,
1114041.5024,3097867.78489,,
1114073.06185,3097863.30866,,
1114100.95482,3097859.85767,,
1114119.16903,3097857.13648,,
1114219.00582,3097857.36252,,
1114359.14051,3097871.11845,,
1114576.64554,3097917.87099,,
1114721.96163,3097953.05943,,
1114896.54425,3098012.58892,,
1115028.3198,3098071.78422,,
1115094.18099,3098105.1574,,
1115263.37441,3098200.63265,,
1115503.79981,3098305.1853,,
1115657.75503,3098352.251,,
1115775.28538,3098371.76644,,
1115924.04389,3098349.88319,,
1116048.45334,3098299.3255,,
1116101.59177,3098258.33952,,
1116135.83232,3098223.85828,,
1116171.80729,3098178.61301,,
1116205.90919,3098122.42638,,
1116235.67389,3098056.38275,,
1116262.79714,3097995.03114,,
1116287.86995,3097926.34588,,
1116308.0145,3097859.82933,,
1116324.5559,3097747.88605,,
1116336.79652,3097638.57685,,
1116343.75863,3097566.79004,,
1116361.36142,3097418.2451,,
1116370.68037,3097298.4881,,
1116374.38424,3097223.10645,,
1116393.13508,3097016.22768,,
1116423.5158,3096887.20123,,
1116455.05001,3096804.59998,,
1116484.50454,3096694.41877,,
1116537.01011,3096548.13982,,
1116578.88603,3096475.80203,,
1116624.15482,3096426.17476,,
1116687.89848,3096359.59331,,
1116774.04596,3096311.80034,,
1116862.21178,3096276.76304,,
1116919.67089,3096260.69441,,
1116988.78537,3096252.06774,,
1117089.86047,3096257.03256,,
1117186.83618,3096275.53502,,
1117281.84642,3096299.09311,,
1117403.25723,3096344.55666,,
1117505.73942,3096390.80793,,
1117671.97494,3096467.66926,,
1117874.55361,3096573.79457,,
1118035.31367,3096657.25733,,
1118206.43716,3096739.51219,,
1118369.33181,3096814.49355,,
1118568.37176,3096887.81624,,
1118714.10563,3096927.60693,,
1118899.41133,3096965.90712,,
1119118.05531,3097024.73711,,
1119327.37636,3097098.56625,,
1119475.52795,3097159.08574,,
1119574.83883,3097200.03137,,
1119663.61806,3097245.61196,,
1119744.19762,3097318.26882,,
1119803.26321,3097374.41173,,
1119847.16251,3097424.65719,,
1119923.47378,3097514.27915,,
1120085.28095,3097716.30186,,
1120186.11152,3097831.17374,,
1120289.77908,3097958.20755,,
1120374.12186,3098024.18103,,
1120431.02404,3098054.45687,,
1120522.72502,3098110.48747,,
1120611.75749,3098150.92989,,
1120731.09381,3098168.81729,,
1120825.48976,3098170.02174,,
1120901.71396,3098156.59333,,
1120978.6961,3098127.74489,,
1121068.93405,3098073.78575,,
1121155.46383,3097990.44713,,
1121199.27603,3097937.64104,,
1121243.34083,3097879.69486,,
1121268.05476,3097831.10252,,
1121291.72901,3097768.71922,,
1121314.11096,3097697.68497,,
1121341.15286,3097566.76787,,
1121375.1317,3097434.47405,,
1121414.0226,3097237.15716,,
1121422.5843,3097132.81145,,
1121426.11513,3096956.08431,,
1121417.12307,3096859.46356,,
1121388.35404,3096675.99723,,
1121373.21183,3096599.68423,,
1121329.44375,3096406.89397,,
1121299.15897,3096277.49043,,
1121264.45695,3096198.63002,,
1121231.33302,3096136.72504,,
1121188.82464,3096069.53694,,
1121164.25803,3096029.75244,,
1121134.76292,3095992.13701,,
1121096.00155,3095946.83315,,
1121054.71686,3095903.81653,,
1121008.5037,3095862.969,,
1120952.43362,3095826.45964,,
1120884.33774,3095789.3597,,
1120801.45656,3095758.767,,
1120699.94514,3095726.77077,,
1120587.54528,3095707.51086,,
1120519.26869,3095699.00527,,
1120430.01278,3095698.05664,,
1120327.05121,3095696.43489,,
1120208.25013,3095702.62248,,
1120001.65466,3095713.08548,,
1119757.53757,3095718.27073,,
1119630.50803,3095717.18432,,
1119478.4539,3095701.12944,,
1119378.91606,3095662.38095,,
1119287.3612,3095612.07462,,
1119201.08913,3095552.38368,,
1119132.12224,3095479.7471,,
1119054.26427,3095386.61771,,
1119003.64898,3095298.26116,,
1118971.62628,3095215.96999,,
1118937.40844,3095073.4615,,
1118913.83662,3094958.95456,,
1118893.5805,3094842.90404,,
1118890.97092,3094748.74559,,
1118894.86796,3094669.37281,,
1118903.81126,3094585.42571,,
1118917.21041,3094508.93045,,
1118940.93835,3094418.47604,,
1118985.70899,3094299.56024,,
1119028.19327,3094203.753,,
1119080.08443,3094091.23322,,
1119145.4816,3093948.46267,,
1119224.41591,3093809.79116,,
1119272.32283,3093743.44568,,
1119324.07658,3093668.7018,,
1119422.81211,3093546.45833,,
1119555.16009,3093369.18895,,
1119673.16111,3093239.30296,,
1119769.34237,3093134.10727,,
1119858.1663,3093038.85486,,
1119944.77253,3092953.79803,,
1120054.32317,3092856.12734,,
1120157.64126,3092780.4773,,
1120239.1397,3092729.51807,,
1120335.97314,3092681.02864,,
1120416.46289,3092650.62908,,
1120489.25912,3092637.02649,,
1120561.55101,3092633.70385,,
1120705.29432,3092644.19188,,
1120839.71511,3092669.67966,,
1121007.64433,3092712.26894,,
1121095.5559,3092740.62719,,
1121206.89625,3092816.50688,,
1121366.74384,3092918.81178,,
1121639.69811,3093061.01729,,
1121742.60926,3093098.69974,,
1121839.08791,3093127.47918,,
1121956.46219,3093150.41419,,
1122017.71929,3093162.00785,,
1122121.38772,3093184.27034,,
1122228.73509,3093201.56095,,
1122327.93668,3093209.86434,,
1122429.01987,3093214.82509,,
1122573.01926,3093220.1745,,
1122754.96344,3093222.23356,,
1122928.25757,3093225.58562,,
1123082.28549,3093236.57976,,
1123215.1656,3093258.55872,,
1123354.31052,3093292.8679,,
1123468.79677,3093339.70725,,
1123617.49663,3093424.29408,,
1123747.09802,3093513.09652,,
1123844.56713,3093591.73448,,
1123938.25339,3093670.40192,,
1124004.93664,3093736.36641,,
1124066.69126,3093804.50033,,
1124146.86161,3093890.41684,,
1124241.7273,3094002.82883,,
1124416.7258,3094181.45685,,
1124558.01556,3094312.0569,,
1124720.56923,3094464.31214,,
1124840.9317,3094566.40485,,
1124907.19375,3094616.03233,,
1124995.89748,3094663.32658,,
1125133.69926,3094725.05457,,
1125304.52882,3094743.74744,,
1125427.18598,3094729.15876,,
1125486.70177,3094706.31717,,
1125606.82711,3094638.35897,,
1125668.19376,3094577.82123,,
1125706.52969,3094531.61096,,
1125747.16781,3094473.49055,,
1125855.84884,3094253.82196,,
1125899.20955,3094175.22384,,
1125948.68851,3094041.96303,,
1126020.84218,3093691.68073,,
1126072.67506,3093510.44228,,
1126113.9224,3093369.90633,,
1126159.01667,3093220.97104,,
1126177.54834,3093158.32944,,
1126188.46967,3093110.7727,,
1126224.51843,3092989.28366,,
1126251.75855,3092906.04922,,
1126299.60601,3092770.98926,,
1126320.60738,3092693.01021,,
1126342.98574,3092621.96909,,
1126364.37543,3092501.06901,,
1126374.22359,3092405.36659,,
1126375.78896,3092338.45698,,
1126379.4039,3092264.77753,,
1126376.13319,3092156.40825,,
1126368.89905,3092023.79815,,
1126355.71613,3091942.42424,,
1126326.62799,3091800.15416,,
1126282.82393,3091677.77352,,
1126233.367,3091564.65729,,
1126198.51968,3091489.0441,,
1126121.10672,3091333.19248,,
1126076.54559,3091226.23373,,
1126007.67983,3091054.53227,,
1125946.55879,3090829.96577,,
1125920.22302,3090701.57278,,
1125909.47535,3090570.50913,,
1125914.88576,3090495.20062,,
1125932.96182,3090406.77248,,
1125963.11536,3090317.2189,,
1125995.60332,3090250.10837,,
1126053.9598,3090180.83098,,
1126148.01193,3090084.10459,,
1126239.17453,3090011.28258,,
1126331.51321,3089956.4372,,
1126394.1522,3089933.00113,,
1126457.01,3089912.03654,,
1126564.66782,3089888.11554,,
1126664.8842,3089875.85285,,
1126761.08589,3089875.41655,,
1126893.18492,3089878.4578,,
1126985.70812,3089882.99398,,
1127093.39998,3089893.42669,,
1127220.89671,3089920.28898,,
1127317.46842,3089947.35278,,
1127390.22061,3089969.81356,,
1127457.2973,3089997.1735,,
1127549.89128,3090041.8792,,
1127645.69073,3090086.74219,,
1127747.50812,3090139.93356,,
1127863.15227,3090202.55237,,
1128104.00309,3090334.59672,,
1128224.84884,3090392.05163,,
1128370.80798,3090462.76172,,
1128542.92185,3090560.51944,,
1128707.22511,3090642.4357,,
1128828.65988,3090687.89688,,
1128971.78135,3090746.44537,,
1129063.55098,3090766.40476,,
1129138.52241,3090778.66974,,
1129226.32839,3090774.38745,,
1129326.88495,3090755.2714,,
1129457.74683,3090713.59399,,
1129554.25576,3090671.94946,,
1129659.08001,3090635.86562,,
1129772.89186,3090591.63397,,
1129870.99396,3090541.29019,,
1129962.053,3090486.30784,,
1130049.98522,3090429.56533,,
1130164.58323,3090353.24316,,
1130230.97249,3090309.90426,,
1130290.79359,3090269.45662,,
1130350.92909,3090222.59751,,
1130401.05511,3090183.28105,,
1130481.28823,3090119.73346,,
1130548.07059,3090068.37987,,
1130609.88163,3090017.25802,,
1130685.4989,3089946.55563,,
1130758.23912,3089877.84568,,
1130828.03885,3089797.71876,,
1130874.92832,3089726.10877,,
1130904.53279,3089679.35872,,
1130938.12857,3089616.73716,,
1130957.64491,3089579.13277,,
1130974.27,3089534.95975,,
1130994.41492,3089484.5324,,
1131013.82135,3089416.39494,,
1131029.99696,3089334.07593,,
1131051.88634,3089202.88496,,
1131078.99995,3089070.23228,,
1131097.41153,3088974.94271,,
1131137.22485,3088863.5249,,
1131188.10866,3088771.54443,,
1131259.89035,3088673.71716,,
1131334.42712,3088589.76647,,
1131389.12055,3088544.66711,,
1131450.2302,3088510.70729,,
1131564.35531,3088489.38281,,
1131662.02544,3088494.16936,,
1131755.7648,3088509.06968,,
1131931.16527,3088539.99621,,
1132053.61493,3088564.89236,,
1132252.58559,3088605.563,,
1132416.69828,3088656.54971,,
1132567.355,3088701.7239,,
1132703.01012,3088737.57426,,
1132825.96502,3088752.1892,,
1132961.50287,3088755.39657,,
1133094.27248,3088733.3487,,
1133264.51754,3088679.93156,,
1133392.41727,3088635.4676,,
1133507.25097,3088589.75373,,
1133598.08506,3088548.48579,,
1133690.35753,3088501.59101,,
1133766.13039,3088463.52819,,
1133839.01186,3088418.89646,,
1133918.46185,3088371.37297,,
1134008.15736,3088311.49716,,
1134111.4612,3088236.22018,,
1134225.01059,3088148.5907,,
1134318.69749,3088072.84199,,
1134409.17872,3087996.93599,,
1134506.69976,3087908.52036,,
1134589.71658,3087821.0006,,
1134652.87077,3087745.36183,,
1134709.22082,3087677.42355,,
1134755.95368,3087609.01397,,
1134799.87346,3087532.43246,,
1134834.99353,3087471.48777,,
1134894.90961,3087363.55368,,
1134944.83425,3087260.19377,,
1134988.86761,3087160.67632,,
1135027.56849,3087061.09794,,
1135046.40132,3086993.37548,,
1135067.27965,3086934.65459,,
1135086.22774,3086863.43464,,
1135094.97811,3086789.99732,,
1135096.95793,3086714.51055,,
1135100.39946,3086644.24881,,
1135095.77653,3086563.2852,,
1135085.63848,3086487.54597,,
1135051.09735,3086353.24171,,
1135017.55965,3086231.35246,,
1134990.74201,3086161.53688,,
1134963.50614,3086094.32403,,
1134929.19788,3086007.48324,,
1134898.99164,3085935.30464,,
1134864.8402,3085845.25809,,
1134845.06893,3085789.65864,,
1134826.50802,3085742.1525,,
1134800.29219,3085654.10152,,
1134785.25088,3085600.34059,,
1134768.71966,3085525.17314,,
1134764.59889,3085433.92782,,
1134772.13752,3085350.1246,,
1134789.37029,3085278.82061,,
1134813.20567,3085212.99326,,
1134840.21647,3085152.47474,,
1134890.1752,3085079.33722,,
1134939.04321,3085028.47768,,
1134986.90445,3084998.18247,,
1135072.83393,3084944.38371,,
1135130.50393,3084915.07083,,
1135210.84962,3084882.04755,,
1135301.04806,3084844.6861,,
1135387.67387,3084811.66468,,
1135515.536,3084761.23594,,
1135676.96375,3084691.83622,,
1135919.1479,3084586.87917,,
1135995.01486,3084545.92926,,
1136069.58767,3084496.32673,,
1136146.46137,3084434.81186,,
1136190.02114,3084387.12676,,
1136242.28085,3084302.07499,,
1136277.99131,3084204.18821,,
1136297.50769,3084149.5029,,
1136322.26825,3084070.37304,,
1136340.46021,3083994.13531,,
1136372.38288,3083867.15078,,
1136406.80007,3083714.5525,,
1136433.44832,3083589.93796,,
1136455.3649,3083493.09342,,
1136477.7845,3083385.96638,,
1136515.84176,3083240.09403,,
1136553.85147,3083130.29396,,
1136619.86627,3083009.83906,,
1136685.07913,3082940.88015,,
1136753.71928,3082872.08879,,
1136859.18451,3082787.92041,,
1137029.18172,3082718.93388,,
1137188.34725,3082695.79931,,
1137328.32749,3082678.59748,,
1137472.86212,3082673.64344,,
1137644.16008,3082668.0031,,
1137742.17439,3082667.97762,,
1137862.47312,3082672.25609,,
1137949.18872,3082673.28471,,
1138055.06133,3082676.85741,,
1138167.34588,3082680.74381,,
1138249.1746,3082683.14023,,
1138327.87594,3082683.77677,,
1138411.38623,3082684.64857,,
1138487.0387,3082681.92217,,
1138551.549,3082677.04377,,
1138609.72596,3082670.24863,,
1138672.71185,3082663.68874,,
1138758.53135,3082650.21146,,
1138824.88014,3082640.60227,,
1138891.5427,3082624.58083,,
1138966.36953,3082604.01591,,
1139046.33396,3082580.73283,,
1139099.15717,3082563.1548,,
1139279.73694,3082513.35594,,
1139397.90847,3082488.66283,,
1139482.36114,3082470.29756,,
1139553.44112,3082462.52642,,
1139632.37923,3082458.3535,,
1139704.74866,3082457.07305,,
1139773.06235,3082461.48963,,
1139805.73661,3082462.01335,,
1139879.0034,3082475.23905,,
1139944.09848,3082491.27884,,
1140044.48134,3082521.34488,,
1140133.64264,3082570.17967,,
1140206.78308,3082620.14207,,
1140281.21806,3082678.7576,,
1140340.90022,3082722.90797,,
1140463.85677,3082804.34619,,
1140542.14163,3082858.16339,,
1140648.21552,3082937.22485,,
1140813.09664,3083043.2152,,
1140911.77599,3083097.86408,,
1141004.2713,3083138.46688,,
1141090.75029,3083161.59582,,
1141170.96138,3083172.3924,,
1141265.46966,3083171.86282,,
1141334.69094,3083161.50612,,
1141423.60229,3083134.93315,,
1141516.86372,3083089.6753,,
1141659.99886,3082988.21053,,
1141723.58078,3082936.68478,,
1141798.03586,3082859.97953,,
1141852.47023,3082798.36423,,
1141930.28823,3082718.60928,,
1142010.23114,3082629.69499,,
1142094.84167,3082543.68071,,
1142179.57111,3082455.23545,,
1142258.8454,3082374.72167,,
1142346.12479,3082298.64254,,
1142404.16863,3082246.92917,,
1142495.00095,3082183.14765,,
1142620.93245,3082099.1534,,
1142776.38857,3082009.29317,,
1142883.28455,3081965.78958,,
1142952.65075,3081942.37972,,
1143042.68803,3081921.3273,,
1143155.08986,3081908.81399,,
1143253.27998,3081903.30859,,
1143387.71182,3081894.42176,,
1143481.01232,3081883.52309,,
1143595.29793,3081865.0607,,
1143673.09048,3081855.12146,,
1143761.75287,3081833.68767,,
1143849.03687,3081805.3143,,
1143945.56074,3081763.64855,,
1144018.09109,3081720.80918,,
1144088.0321,3081660.66274,,
1144134.31475,3081592.48699,,
1144206.8936,3081455.48019,,
1144249.37579,3081364.8614,,
1144289.19109,3081273.60143,,
1144320.67723,3081188.36213,,
1144342.04646,3081133.14047,,
1144382.43812,3081009.78897,,
1144419.08997,3080884.6265,,
1144443.64355,3080799.41213,,
1144465.5317,3080700.57907,,
1144492.22747,3080553.24767,,
1144511.68457,3080454.29561,,
1144528.35428,3080362.51724,,
1144540.87549,3080255.916,,
1144545.03486,3080170.83597,,
1144537.22486,3080078.85588,,
1144517.4464,3079975.64901,,
1144489.82659,3079872.93447,,
1144450.62862,3079761.06387,,
1144398.55751,3079631.38381,,
1144342.72343,3079508.39218,,
1144285.88393,3079405.96803,,
1144221.51882,3079316.92051,,
1144172.3269,3079233.76881,,
1144096.96998,3079123.56807,,
1144010.78878,3078988.78621,,
1143922.55856,3078860.77666,,
1143731.00828,3078597.14916,,
1143634.29231,3078467.00801,,
1143601.70318,3078424.51537,,
1143525.19447,3078313.10822,,
1143477.4992,3078236.856,,
1143438.63905,3078177.10552,,
1143393.99319,3078104.21647,,
1143361.54526,3078044.77941,,
1143332.14681,3077988.70537,,
1143269.90868,3077881.2103,,
1143207.9054,3077768.90594,,
1143154.89388,3077669.89693,,
1143122.91558,3077600.84131,,
1143092.22703,3077538.2767,,
1143064.74458,3077475.86875,,
1143039.99836,3077423.23643,,
1143005.67511,3077336.38967,,
1142981.81637,3077258.20254,,
1142956.6852,3077174.1304,,
1142948.74345,3077137.19341,,
1142939.2021,3077083.12205,,
1142922.07505,3076984.82133,,
1142911.47426,3076896.29621,,
1142916.05257,3076835.45449,,
1142924.39921,3076787.56982,,
1142941.71361,3076732.37348,,
1142974.68036,3076656.01203,,
1143006.34126,3076606.38943,,
1143047.4874,3076562.1032,,
1143085.72805,3076527.42148,,
1143131.0233,3076497.95744,,
1143207.52057,3076460.79784,,
1143285.79893,3076437.30151,,
1143379.87326,3076419.39744,,
1143454.0845,3076413.37933,,
1143554.10166,3076405.40736,,
1143660.21815,3076404.16118,,
